matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-11-21,341307,Norwich,12,331,2,1,5,12,68,0,4,35.6,3,4,63
2015-11-29,341323,Norwich,12,354,2,4,3,8,76,1,5,36.6,3,1,88
2015-12-05,341335,Norwich,12,373,1,4,1,10,65,0,10,49.6,5,3,88
2015-12-12,341343,Norwich,12,402,2,5,5,9,77,1,6,41.4,1,1,50
2015-12-19,341350,Norwich,12,283,4,2,0,10,70,2,4,30.8,1,2,92
2015-12-26,341366,Norwich,12,354,3,7,4,13,75,0,4,40.2,8,2,63
2016-01-02,341382,Norwich,12,356,1,7,4,9,69,1,7,41.6,2,1,71
2015-12-28,341372,Norwich,12,361,4,4,3,10,70,2,19,48.2,2,2,71
2015-08-09,341193,So'ton,13,389,4,7,6,12,79,2,9,43.7,3,4,41
2015-08-15,341201,So'ton,13,458,4,9,9,11,85,0,9,54.4,1,4,41
2015-08-23,341214,So'ton,13,412,4,10,2,11,75,0,10,48,2,2,23
2015-08-30,341223,So'ton,13,533,8,13,6,4,85,3,12,61.1,2,0,21
2015-09-12,341235,So'ton,13,614,4,6,5,5,85,0,5,64.9,2,0,15
2015-09-20,341243,So'ton,13,382,8,6,5,6,78,2,13,40.8,1,2,92
2015-09-26,341251,So'ton,13,380,6,8,4,18,76,3,13,41.5,6,3,92
2015-10-03,341260,So'ton,13,360,5,4,6,14,72,3,13,39.8,3,5,44
2015-10-17,341272,So'ton,13,360,6,5,6,16,75,2,9,50.6,1,2,15
2015-10-25,341281,So'ton,13,383,3,3,7,11,73,1,8,39.7,2,0,36
2015-11-01,341292,So'ton,13,479,2,4,4,5,84,2,5,48.5,1,0,23
2015-11-07,341305,So'ton,13,551,5,5,7,11,78,1,10,64.2,5,3,23
2015-11-21,341312,So'ton,13,517,1,13,7,8,78,0,8,58.2,0,2,12
2015-11-28,341322,So'ton,13,463,8,2,4,11,81,1,13,54.1,6,1,21
2015-12-05,341332,So'ton,13,539,5,12,10,4,81,1,8,63.1,3,1,59
2015-12-12,341339,So'ton,13,397,3,8,5,13,75,0,11,56.2,0,0,16
2015-12-19,341352,So'ton,13,386,4,2,4,18,72,0,9,51,5,1,19
2015-12-26,341363,So'ton,13,312,5,5,3,10,74,4,9,35.2,6,1,55
2016-01-02,341382,So'ton,13,494,4,5,9,7,77,0,8,58.4,2,0,50
2015-12-28,341376,So'ton,13,407,4,8,7,12,74,1,5,50.9,2,3,50
2015-08-09,341195,Stoke,14,412,1,4,3,9,73,0,16,47,3,2,100
2015-08-15,341204,Stoke,14,430,7,6,3,11,82,2,15,46.8,3,2,100
2015-08-22,341212,Stoke,14,467,1,4,0,5,84,1,14,57.4,4,1,26
2015-08-29,341224,Stoke,14,446,5,5,6,4,84,0,9,49.1,2,1,22
2015-09-12,341227,Stoke,14,305,3,2,1,13,74,0,6,32.4,3,1,38
2015-09-19,341244,Stoke,14,432,4,5,4,7,72,2,12,54.1,3,1,26
2015-09-26,341252,Stoke,14,383,5,2,3,13,75,2,11,43.7,2,1,19
2015-10-03,341258,Stoke,14,381,5,4,5,12,79,1,12,43.7,2,0,15
2015-10-19,341273,Stoke,14,472,2,6,2,14,81,1,6,45.9,2,2,25
2015-10-24,341284,Stoke,14,526,1,8,11,10,84,0,17,66.2,8,3,25
2015-10-31,341291,Stoke,14,388,2,6,4,16,79,0,6,47.7,5,3,65
2015-11-07,341304,Stoke,14,282,2,5,1,13,69,1,10,36.8,3,3,54
2015-11-21,341312,Stoke,14,389,4,11,3,8,74,1,7,41.8,2,0,12
2015-11-28,341324,Stoke,14,476,3,3,5,10,85,0,4,51.8,3,2,15
2015-12-05,341333,Stoke,14,413,4,3,1,9,74,2,9,46.5,3,0,56
2015-12-12,341346,Stoke,14,397,3,4,7,9,75,0,7,53.3,0,2,26
2015-12-19,341353,Stoke,14,469,5,10,7,6,80,1,11,58.4,0,2,20
2015-12-26,341364,Stoke,14,334,3,8,1,13,71,2,12,41.5,3,1,86
2016-01-02,341385,Stoke,14,429,3,2,6,15,78,1,7,54.3,1,1,60
2015-12-28,341369,Stoke,14,472,5,1,2,12,86,4,9,48.7,5,1,60
2015-08-08,341191,S'land,15,442,5,4,3,17,79,2,12,56,1,4,31
2015-08-15,341202,S'land,15,386,2,3,6,7,69,1,6,43.9,2,1,30
2015-08-22,341213,S'land,15,318,2,5,3,16,68,1,9,39.3,4,4,28
2015-08-29,341217,S'land,15,329,3,3,4,14,73,2,8,38,1,1,30
